,company,name,models,gear,year,kms,owner,fuel,price
367,Maruti,Eeco,5 STR,Manual,2016,22828,1,P,352099
368,Renault,Kwid,RXT 1.0 EASY-R AT OPTION,Automatic,2019,26564,2,P,499299
369,Hyundai,i20,MAGNA O 1.4 CRDI,Manual,2013,109269,1,D,424499
370,Maruti,Alto 800,LXI,Manual,2017,43850,1,P,298299
371,Renault,Kwid,RXT 1.0 EASY-R AT OPTION,Automatic,2019,5796,1,P,504599
372,Hyundai,i20,MAGNA 1.2 VTVT,Manual,2013,39431,3,P,399599
373,Tata,Nano,TWIST XTA,Automatic,2015,22182,1,P,270899
374,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2017,34489,2,P,537699
375,Maruti,Wagon R 1.0,VXI,Manual,2016,74510,2,P,392799
376,Maruti,Alto 800,VXI,Manual,2014,16835,1,P,260899
377,Renault,Kwid,RXT 1.0 EASY-R  AT,Automatic,2018,12318,1,P,481399
378,Renault,Kwid,RXL1.0 EASY-R AT,Manual,2018,9848,1,P,444499
379,Tata,Nano,TWIST XTA,Automatic,2015,32444,1,P,260999
380,Renault,Kwid,RXT 1.0 EASY-R AT OPTION,Automatic,2019,11998,1,P,504599
381,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2017,31980,1,P,537699
382,Hyundai,Grand i10,Magna 1.2 AT  VTVT,Automatic,2017,34073,1,P,546899
383,Hyundai,i10,SPORTZ 1.2 KAPPA2,Manual,2012,82823,1,P,329299
384,Hyundai,Eon,MAGNA PLUS,Manual,2015,25658,1,P,342699
385,Hyundai,Grand i10,ASTA 1.2 (O) VTVT,Manual,2016,15831,1,P,544499
386,Maruti,Ritz,VXI BS IV,Manual,2011,76246,2,P,336299
387,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2016,35203,2,P,501599
388,Hyundai,Grand i10,MAGNA AT 1.2 KAPPA,VTVT,2018,21356,3,P,544299
389,Maruti,Alto 800,LXI,Manual,2016,39661,1,P,279799
390,Hyundai,Grand i10,SPORTS 1.2 VTVT,Manual,2015,46111,1,P,474799
391,Maruti,Ritz,VXI BS IV,Manual,2011,61151,2,P,336299
392,Maruti,Celerio,ZXI OPT AMT,Automatic,2017,45260,1,P,517899
393,Hyundai,Grand i10,ASTA 1.2 (O) VTVT,Manual,2016,20657,1,P,544499
394,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT OPT,Manual,2016,33876,1,P,571899
395,Toyota,Etios Liva,V,Manual,2013,48838,1,P,435599
396,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,2016,18671,2,P,462299
397,Hyundai,Grand i10,ASTA 1.2 (O) VTVT,Manual,2016,17852,1,P,544499
398,Hyundai,i10,SPORTZ 1.1 IRDE2,Manual,2014,49305,2,P,388199
399,Maruti,Celerio,ZXI OPT,Manual,2019,21303,2,P,565499
400,Maruti,Wagon R 1.0,VXI,Manual,2018,13265,1,P,532799
401,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2016,12253,2,P,503399
402,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,5711,1,P,450199
403,Maruti,Celerio,VXI,Manual,2017,29222,2,P,492499
404,Maruti,Celerio,ZXI OPT,Manual,2019,5805,1,P,565499
405,Maruti,Alto 800,VXI,Manual,2016,25517,2,P,291999
406,Maruti,Celerio,ZXI OPT,Manual,2017,27145,1,P,496999
407,Hyundai,i10,SPORTZ 1.1 IRDE2,Manual,2014,23558,1,P,388199
408,Maruti,Alto 800,VXI,Manual,2016,30932,2,P,291999
409,Maruti,Alto K10,VXI AMT,Automatic,2015,93795,1,P,336099
410,Maruti,Alto 800,VXI,Manual,2016,15996,2,P,291999
411,Maruti,Celerio,VXI,Manual,2016,65269,1,P,459399
412,Maruti,Wagon R 1.0,LXI,Manual,2012,21909,1,P,323699
413,Hyundai,i10,SPORTZ 1.2 AT KAPPA2,Automatic,2013,39398,1,P,397299
414,Maruti,Celerio,VXI,Manual,2016,38815,2,P,484199
415,Maruti,Alto 800,VXI,Manual,2017,39202,2,P,315999
416,Maruti,Alto K10,VXI,Manual,2017,49800,1,P,380899
417,Maruti,Wagon R 1.0,VXI,Manual,2018,6781,1,P,494999
418,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,6081,1,P,450199
419,Hyundai,i10,SPORTZ 1.1 IRDE2,Manual,2015,47725,1,P,411399
420,Hyundai,i10,SPORTZ 1.2 KAPPA2 O,Manual,2012,30932,1,P,353899
421,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,11521,1,P,450199
422,Maruti,Celerio,ZXI OPT AMT,Automatic,2016,21156,2,P,495899
423,Hyundai,i10,SPORTZ 1.1 IRDE2,Manual,2015,38965,1,P,411399
424,Maruti,Alto K10,VXI,Manual,2012,48482,1,P,311899
425,Hyundai,i10,SPORTZ 1.1 IRDE2,Manual,2015,25052,1,P,411399
426,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2018,14600,1,P,439799
427,Maruti,Ritz,VDI,Manual,2012,51781,2,D,389699
428,Maruti,Wagon R 1.0,VXI,Manual,2016,38147,2,P,442099
429,Maruti,Celerio,VXI,Manual,2016,23492,1,P,443599
430,Maruti,Wagon R 1.0,VXI,Manual,2016,31051,1,P,442999
431,Maruti,Ritz,VXI BS IV,Manual,2010,72080,1,P,311899
432,Maruti,Alto 800,LXI,Manual,2017,10742,2,P,320999
433,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2018,32068,1,P,424799
434,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2018,37897,1,P,429499
435,Maruti,Ritz,VDI,Manual,2012,46939,2,D,389699
436,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2018,17981,1,P,429499
437,Maruti,Alto K10,VXI,Manual,2019,15017,2,P,393899
438,Maruti,Wagon R 1.0,VXI,Manual,2015,15893,2,P,439899
439,Maruti,Alto K10,VXI,Manual,2014,49074,1,P,351099
440,Ford,Figo,1.2 EXI DURATEC,Manual,2010,41502,1,P,278099
441,Maruti,Swift,VXI,Manual,2012,34735,1,P,434599
442,Maruti,Alto K10,VXI,Manual,2014,39959,1,P,354199
443,Maruti,Alto K10,VXI AMT,Automatic,2015,2650,1,P,415499
444,Maruti,Alto K10,VXI,Manual,2015,22584,2,P,367499
445,Maruti,OMNI E,8 STR,Manual,2018,13277,1,P,363499
446,Maruti,Alto K10,VXI,Manual,2016,15297,1,P,375299
447,Hyundai,Verna,FLUIDIC 1.6 SX VTVT OPT,Manual,2016,15931,2,P,759399
448,Tata,Tiago,XM 1.2 REVOTRON,Manual,2017,42959,1,P,467099
449,Ford,FREESTYLE,TITANIUM + 1.2 TI-VCT,Manual,2018,35175,1,P,614099
